year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,リース債権及びリース投資資産、流動資産,jppfs_cor,LeaseReceivablesAndInvestmentAssetsCA,instant,debit,false
2014,cai,bs,貸倒引当金、リース債権及びリース投資資産、流動資産,jppfs_cor,AllowanceForDoubtfulAccountsLeaseReceivablesAndInvestmentAssetsCA,instant,debit,false
2014,cai,bs,リース債権及びリース投資資産（純額）、流動資産,jppfs_cor,LeaseReceivablesAndInvestmentAssetsNetCA,instant,debit,false
2014,cai,bs,デリバティブ債権、流動資産,jppfs_cor,DerivativesCA,instant,debit,false
2014,cai,bs,為替予約、流動資産,jppfs_cor,ForwardExchangeContractsCA,instant,debit,false
2014,cai,bs,金利スワップ資産、流動資産,jppfs_cor,InterestRateSwapAssetsCA,instant,debit,false
2014,cai,bs,金利スワップ、流動資産,jppfs_cor,InterestRateSwapCA,instant,debit,false
2014,cai,bs,買建通貨オプション、流動資産,jppfs_cor,PurchasedCurrencyOptionCA,instant,debit,false
2014,cai,bs,通貨オプション、流動資産,jppfs_cor,CurrencyOptionCA,instant,debit,false
2014,cai,bs,オプション資産、流動資産,jppfs_cor,OptionCA,instant,debit,false
2014,cai,bs,前払年金費用、流動資産,jppfs_cor,PrepaidPensionCostCA,instant,debit,false
2014,cai,bs,流動資産に属する資産に係る引当金 [タイトル項目],jppfs_cor,AllowanceCurrentAssetsAbstract,duration,,true
2014,cai,bs,貸倒引当金、流動資産、一括控除,jppfs_cor,AllowanceForDoubtfulAccountsCA,instant,debit,false
2014,cai,bs,信用保証割賦売掛金、流動資産,jppfs_cor,AccountsReceivableInstallmentSalesCreditGuaranteeCA,instant,debit,false
2014,cai,bs,寄託有価証券、流動資産,jppfs_cor,SecuritiesInDepositCA,instant,debit,false
2014,cai,bs,商業手形、流動資産,jppfs_cor,CommercialNotesCA,instant,debit,false
2014,cai,bs,貸借取引貸付金、流動資産,jppfs_cor,LoansOnMarginTransactionCA,instant,debit,false
2014,cai,bs,一般貸付金、流動資産,jppfs_cor,GeneralLoansCA,instant,debit,false
2014,cai,bs,公社債貸付金、流動資産,jppfs_cor,BondFinancingCA,instant,debit,false
2014,cai,bs,貸付有価証券、流動資産,jppfs_cor,SecuritiesLentCA,instant,debit,false
2014,cai,bs,借入有価証券代り金、流動資産,jppfs_cor,CollateralMoneyForSecuritiesBorrowedCA,instant,debit,false
2014,cai,bs,買取債権、流動資産,jppfs_cor,PurchasedReceivablesCA,instant,debit,false
2014,cai,bs,その他、流動資産,jppfs_cor,OtherCA,instant,debit,false
2014,cai,bs,流動資産,jppfs_cor,CurrentAssets,instant,debit,false
2014,cai,bs,固定資産 [タイトル項目],jppfs_cor,NoncurrentAssetsAbstract,duration,,true
2014,cai,bs,有形固定資産 [タイトル項目],jppfs_cor,PropertyPlantAndEquipmentAbstract,duration,,true
2014,cai,bs,建物及び暖房、照明、通風等の附属設備、有形固定資産 [タイトル項目],jppfs_cor,BuildingsAndOtherFacilitiesHeatingIlluminationVentilationAndOtherPPEAbstract,duration,,true
2014,cai,bs,建物,jppfs_cor,Buildings,instant,debit,false
2014,cai,bs,減価償却累計額、建物,jppfs_cor,AccumulatedDepreciationBuildings,instant,debit,false
